dependency1,dependency2,count,count1,count2,proportion1,proportion2,maxProportion
log4j:log4j,org.openjdk.jmh:jmh-core,21,296,100,0.07,0.21,0.21
org.apache.logging.log4j:log4j-api,org.mockito:mockito-core,72,158,504,0.46,0.14,0.46
javax.annotation:javax.annotation-api,org.apache.logging.log4j:log4j-slf4j-impl,13,122,120,0.11,0.11,0.11
com.squareup.okhttp3:okhttp,org.apache.httpcomponents:httpclient,48,131,384,0.37,0.13,0.37
com.fasterxml.jackson.core:jackson-annotations,org.apache.maven:maven-core,25,237,112,0.11,0.22,0.22
javax.servlet:javax.servlet-api,org.hamcrest:hamcrest-library,33,281,136,0.12,0.24,0.24
org.junit.jupiter:junit-jupiter-api,org.slf4j:jcl-over-slf4j,17,164,173,0.1,0.1,0.1
org.junit.jupiter:junit-jupiter-api,org.springframework:spring-test,14,164,188,0.09,0.07,0.09
junit:junit,org.junit.jupiter:junit-jupiter-api,63,1314,164,0.05,0.38,0.38
org.slf4j:jcl-over-slf4j,org.springframework:spring-context,64,173,240,0.37,0.27,0.37
javax.servlet:servlet-api,org.slf4j:slf4j-log4j12,59,158,301,0.37,0.2,0.37
org.apache.logging.log4j:log4j-api,org.bouncycastle:bcprov-jdk15on,25,158,106,0.16,0.24,0.24
org.apache.commons:commons-math3,org.hamcrest:hamcrest-library,15,107,136,0.14,0.11,0.14
org.apache.commons:commons-math3,org.apache.maven.plugin-tools:maven-plugin-annotations,13,107,132,0.12,0.1,0.12
commons-logging:commons-logging,org.springframework:spring-jdbc,36,217,130,0.17,0.28,0.28
com.google.code.findbugs:jsr305,org.junit.jupiter:junit-jupiter-engine,25,167,200,0.15,0.13,0.15
com.google.guava:guava,org.projectlombok:lombok,121,680,233,0.18,0.52,0.52
com.fasterxml.jackson.core:jackson-core,commons-fileupload:commons-fileupload,49,287,148,0.17,0.33,0.33
com.google.protobuf:protobuf-java,javax.inject:javax.inject,11,152,109,0.07,0.1,0.1
org.apache.logging.log4j:log4j-slf4j-impl,org.slf4j:jcl-over-slf4j,20,120,173,0.17,0.12,0.17
com.google.inject:guice,org.apache.zookeeper:zookeeper,11,114,107,0.1,0.1,0.1
org.mockito:mockito-all,org.openjdk.jmh:jmh-core,15,210,100,0.07,0.15,0.15
joda-time:joda-time,org.springframework:spring-web,40,222,161,0.18,0.25,0.25
mysql:mysql-connector-java,org.mockito:mockito-core,93,326,504,0.29,0.18,0.29
org.assertj:assertj-core,org.mockito:mockito-core,134,243,504,0.55,0.27,0.55
org.hamcrest:hamcrest-library,org.junit.jupiter:junit-jupiter-api,23,136,164,0.17,0.14,0.17
javax.annotation:javax.annotation-api,org.slf4j:slf4j-simple,25,122,223,0.2,0.11,0.2
org.powermock:powermock-module-junit4,org.slf4j:jcl-over-slf4j,23,118,173,0.19,0.13,0.19
org.jsoup:jsoup,org.springframework:spring-jdbc,15,133,130,0.11,0.12,0.12
ch.qos.logback:logback-core,org.slf4j:slf4j-log4j12,19,113,301,0.17,0.06,0.17
ch.qos.logback:logback-core,commons-beanutils:commons-beanutils,21,113,163,0.19,0.13,0.19
javax.servlet:javax.servlet-api,javax.validation:validation-api,49,281,110,0.17,0.45,0.45
com.google.protobuf:protobuf-java,org.hsqldb:hsqldb,7,152,120,0.05,0.06,0.06
com.google.protobuf:protobuf-java,commons-cli:commons-cli,35,152,223,0.23,0.16,0.23
junit:junit,org.hsqldb:hsqldb,91,1314,120,0.07,0.76,0.76
org.easymock:easymock,org.junit.jupiter:junit-jupiter-api,10,104,164,0.1,0.06,0.1
javax.xml.bind:jaxb-api,org.apache.zookeeper:zookeeper,24,169,107,0.14,0.22,0.22
org.eclipse.jetty:jetty-server,org.hamcrest:hamcrest-core,19,148,137,0.13,0.14,0.14
com.alibaba:fastjson,log4j:log4j,45,207,296,0.22,0.15,0.22
commons-collections:commons-collections,org.postgresql:postgresql,19,163,134,0.12,0.14,0.14
javax.annotation:javax.annotation-api,org.springframework:spring-beans,21,122,151,0.17,0.14,0.17
org.apache.commons:commons-text,org.testng:testng,10,103,158,0.1,0.06,0.1
org.apache.commons:commons-text,org.mockito:mockito-all,13,103,210,0.13,0.06,0.13
com.fasterxml.jackson.core:jackson-annotations,com.google.protobuf:protobuf-java,33,237,152,0.14,0.22,0.22
com.google.guava:guava,org.json:json,65,680,137,0.1,0.47,0.47
com.fasterxml.jackson.core:jackson-core,javax.servlet:servlet-api,32,287,158,0.11,0.2,0.2
com.google.protobuf:protobuf-java,org.apache.logging.log4j:log4j-slf4j-impl,16,152,120,0.11,0.13,0.13
joda-time:joda-time,org.powermock:powermock-module-junit4,28,222,118,0.13,0.24,0.24
org.apache.maven:maven-plugin-api,org.hamcrest:hamcrest-all,18,156,138,0.12,0.13,0.13
javax.xml.bind:jaxb-api,org.slf4j:slf4j-log4j12,34,169,301,0.2,0.11,0.2
com.h2database:h2,org.apache.commons:commons-math3,18,211,107,0.09,0.17,0.17
org.apache.logging.log4j:log4j-api,org.slf4j:slf4j-simple,25,158,223,0.16,0.11,0.16
com.alibaba:fastjson,org.yaml:snakeyaml,23,207,143,0.11,0.16,0.16
javax.annotation:javax.annotation-api,org.springframework:spring-test,28,122,188,0.23,0.15,0.23
org.powermock:powermock-module-junit4,org.springframework:spring-beans,10,118,151,0.08,0.07,0.08
com.google.code.findbugs:jsr305,org.bouncycastle:bcprov-jdk15on,21,167,106,0.13,0.2,0.2
com.fasterxml.jackson.core:jackson-databind,org.apache.commons:commons-text,46,453,103,0.1,0.45,0.45
org.apache.commons:commons-text,org.eclipse.jetty:jetty-servlet,15,103,114,0.15,0.13,0.15
com.fasterxml.jackson.core:jackson-annotations,redis.clients:jedis,23,237,111,0.1,0.21,0.21
com.google.protobuf:protobuf-java,org.mockito:mockito-all,25,152,210,0.16,0.12,0.16
org.apache.logging.log4j:log4j-slf4j-impl,org.slf4j:slf4j-simple,19,120,223,0.16,0.09,0.16
joda-time:joda-time,org.hamcrest:hamcrest-library,36,222,136,0.16,0.26,0.26
commons-lang:commons-lang,org.apache.httpcomponents:httpclient,116,271,384,0.43,0.3,0.43
com.google.code.gson:gson,com.google.inject:guice,45,365,114,0.12,0.39,0.39
org.slf4j:slf4j-simple,org.springframework:spring-jdbc,18,223,130,0.08,0.14,0.14
commons-fileupload:commons-fileupload,javax.validation:validation-api,29,148,110,0.2,0.26,0.26
log4j:log4j,org.javassist:javassist,42,296,132,0.14,0.32,0.32
org.apache.commons:commons-compress,org.apache.logging.log4j:log4j-api,24,121,158,0.2,0.15,0.2
org.apache.commons:commons-compress,org.jsoup:jsoup,20,121,133,0.17,0.15,0.17
commons-collections:commons-collections,org.springframework:spring-web,40,163,161,0.25,0.25,0.25
javax.annotation:javax.annotation-api,javax.servlet:servlet-api,15,122,158,0.12,0.09,0.12
org.apache.zookeeper:zookeeper,org.springframework:spring-webmvc,25,107,142,0.23,0.18,0.23
com.google.protobuf:protobuf-java,org.apache.commons:commons-compress,30,152,121,0.2,0.25,0.25
com.google.inject:guice,org.junit.jupiter:junit-jupiter-api,8,114,164,0.07,0.05,0.07
junit:junit,org.apache.commons:commons-compress,80,1314,121,0.06,0.66,0.66
junit:junit,org.apache.zookeeper:zookeeper,77,1314,107,0.06,0.72,0.72
org.apache.logging.log4j:log4j-core,org.springframework:spring-beans,23,202,151,0.11,0.15,0.15
org.junit.jupiter:junit-jupiter-engine,org.testng:testng,17,200,158,0.09,0.11,0.11
org.apache.httpcomponents:httpcore,org.hamcrest:hamcrest-all,27,152,138,0.18,0.2,0.2
org.hsqldb:hsqldb,org.springframework:spring-context,48,120,240,0.4,0.2,0.4
org.assertj:assertj-core,org.springframework:spring-core,24,243,186,0.1,0.13,0.13
commons-fileupload:commons-fileupload,org.springframework:spring-context,53,148,240,0.36,0.22,0.36
org.apache.httpcomponents:httpclient,org.apache.maven:maven-core,38,384,112,0.1,0.34,0.34
com.h2database:h2,org.slf4j:slf4j-api,130,211,795,0.62,0.16,0.62
commons-collections:commons-collections,org.junit.jupiter:junit-jupiter-api,13,163,164,0.08,0.08,0.08
commons-logging:commons-logging,org.springframework:spring-test,47,217,188,0.22,0.25,0.25
ch.qos.logback:logback-classic,commons-fileupload:commons-fileupload,33,381,148,0.09,0.22,0.22
org.apache.commons:commons-text,redis.clients:jedis,7,103,111,0.07,0.06,0.07
ch.qos.logback:logback-core,org.springframework:spring-context,30,113,240,0.27,0.13,0.27
org.postgresql:postgresql,org.slf4j:slf4j-log4j12,27,134,301,0.2,0.09,0.2
javax.validation:validation-api,org.javassist:javassist,30,110,132,0.27,0.23,0.27
commons-beanutils:commons-beanutils,org.junit.jupiter:junit-jupiter-engine,15,163,200,0.09,0.08,0.09
junit:junit,org.postgresql:postgresql,95,1314,134,0.07,0.71,0.71
org.apache.logging.log4j:log4j-core,org.hamcrest:hamcrest-core,21,202,137,0.1,0.15,0.15
mysql:mysql-connector-java,org.testng:testng,28,326,158,0.09,0.18,0.18
com.google.code.gson:gson,org.projectlombok:lombok,69,365,233,0.19,0.3,0.3
com.google.code.gson:gson,org.hamcrest:hamcrest-library,35,365,136,0.1,0.26,0.26
com.google.code.gson:gson,org.springframework:spring-core,53,365,186,0.15,0.28,0.28
org.apache.maven:maven-core,org.hamcrest:hamcrest-all,10,112,138,0.09,0.07,0.09
org.eclipse.jetty:jetty-server,org.hamcrest:hamcrest-library,19,148,136,0.13,0.14,0.14
org.apache.commons:commons-collections4,org.hamcrest:hamcrest-core,21,109,137,0.19,0.15,0.19
com.google.code.findbugs:jsr305,javax.inject:javax.inject,28,167,109,0.17,0.26,0.26
ch.qos.logback:logback-classic,org.mockito:mockito-all,48,381,210,0.13,0.23,0.23
org.springframework:spring-beans,org.springframework:spring-jdbc,75,151,130,0.5,0.58,0.58
com.fasterxml.jackson.core:jackson-annotations,commons-codec:commons-codec,108,237,356,0.46,0.3,0.46
javax.servlet:javax.servlet-api,org.apache.zookeeper:zookeeper,40,281,107,0.14,0.37,0.37
javax.validation:validation-api,org.apache.commons:commons-collections4,15,110,109,0.14,0.14,0.14
javax.inject:javax.inject,org.apache.maven:maven-core,14,109,112,0.13,0.13,0.13
com.fasterxml.jackson.core:jackson-core,org.apache.httpcomponents:httpcore,69,287,152,0.24,0.45,0.45
com.google.protobuf:protobuf-java,io.netty:netty-all,37,152,125,0.24,0.3,0.3
junit:junit,org.hamcrest:hamcrest-core,102,1314,137,0.08,0.74,0.74
junit:junit,mysql:mysql-connector-java,228,1314,326,0.17,0.7,0.7
org.slf4j:slf4j-api,org.springframework:spring-jdbc,92,795,130,0.12,0.71,0.71
javax.xml.bind:jaxb-api,org.apache.commons:commons-lang3,79,169,548,0.47,0.14,0.47
org.json:json,org.springframework:spring-context,33,137,240,0.24,0.14,0.24
commons-fileupload:commons-fileupload,redis.clients:jedis,20,148,111,0.14,0.18,0.18
commons-cli:commons-cli,org.yaml:snakeyaml,40,223,143,0.18,0.28,0.28
com.alibaba:fastjson,org.slf4j:slf4j-log4j12,34,207,301,0.16,0.11,0.16
com.alibaba:fastjson,com.google.code.gson:gson,40,207,365,0.19,0.11,0.19
commons-logging:commons-logging,org.powermock:powermock-module-junit4,26,217,118,0.12,0.22,0.22
org.apache.commons:commons-lang3,org.apache.maven:maven-core,50,548,112,0.09,0.45,0.45
org.apache.zookeeper:zookeeper,org.springframework:spring-web,24,107,161,0.22,0.15,0.22
org.hamcrest:hamcrest-all,org.hamcrest:hamcrest-library,12,138,136,0.09,0.09,0.09
org.hamcrest:hamcrest-all,org.hamcrest:hamcrest-core,14,138,137,0.1,0.1,0.1
org.mockito:mockito-core,org.slf4j:slf4j-simple,83,504,223,0.16,0.37,0.37
javax.servlet:javax.servlet-api,org.hsqldb:hsqldb,42,281,120,0.15,0.35,0.35
org.springframework:spring-core,org.springframework:spring-webmvc,89,186,142,0.48,0.63,0.63
com.google.protobuf:protobuf-java,org.apache.commons:commons-math3,21,152,107,0.14,0.2,0.2
com.google.protobuf:protobuf-java,org.springframework:spring-jdbc,7,152,130,0.05,0.05,0.05
commons-codec:commons-codec,javax.validation:validation-api,36,356,110,0.1,0.33,0.33
commons-codec:commons-codec,org.springframework:spring-web,70,356,161,0.2,0.43,0.43
mysql:mysql-connector-java,org.hamcrest:hamcrest-library,26,326,136,0.08,0.19,0.19
com.google.code.gson:gson,commons-fileupload:commons-fileupload,47,365,148,0.13,0.32,0.32
org.bouncycastle:bcprov-jdk15on,org.eclipse.jetty:jetty-servlet,16,106,114,0.15,0.14,0.15
javax.xml.bind:jaxb-api,org.springframework:spring-context,37,169,240,0.22,0.15,0.22
io.netty:netty-all,org.springframework:spring-beans,20,125,151,0.16,0.13,0.16
com.alibaba:fastjson,org.eclipse.jetty:jetty-servlet,9,207,114,0.04,0.08,0.08
commons-logging:commons-logging,org.slf4j:jcl-over-slf4j,47,217,173,0.22,0.27,0.27
commons-logging:commons-logging,org.apache.maven.plugin-tools:maven-plugin-annotations,26,217,132,0.12,0.2,0.2
com.google.code.findbugs:jsr305,org.apache.httpcomponents:httpcore,39,167,152,0.23,0.26,0.26
org.apache.commons:commons-text,org.eclipse.jetty:jetty-server,22,103,148,0.21,0.15,0.21
com.squareup.okhttp3:okhttp,org.slf4j:slf4j-simple,14,131,223,0.11,0.06,0.11
ch.qos.logback:logback-core,org.hsqldb:hsqldb,13,113,120,0.12,0.11,0.12
com.fasterxml.jackson.core:jackson-annotations,org.javassist:javassist,36,237,132,0.15,0.27,0.27
org.apache.maven.plugin-tools:maven-plugin-annotations,org.junit.jupiter:junit-jupiter-engine,19,132,200,0.14,0.1,0.14
commons-beanutils:commons-beanutils,org.springframework:spring-beans,36,163,151,0.22,0.24,0.24
com.fasterxml.jackson.core:jackson-core,org.springframework:spring-web,52,287,161,0.18,0.32,0.32
com.fasterxml.jackson.core:jackson-core,junit:junit,203,287,1314,0.71,0.15,0.71
com.google.protobuf:protobuf-java,org.slf4j:slf4j-simple,18,152,223,0.12,0.08,0.12
org.apache.logging.log4j:log4j-slf4j-impl,org.apache.maven:maven-plugin-api,7,120,156,0.06,0.04,0.06
mysql:mysql-connector-java,org.springframework:spring-context,97,326,240,0.3,0.4,0.4
org.easymock:easymock,org.mockito:mockito-core,30,104,504,0.29,0.06,0.29
org.apache.maven:maven-plugin-api,org.jsoup:jsoup,19,156,133,0.12,0.14,0.14
org.apache.maven:maven-core,org.hamcrest:hamcrest-library,16,112,136,0.14,0.12,0.14
log4j:log4j,org.apache.httpcomponents:httpclient,103,296,384,0.35,0.27,0.35
org.apache.logging.log4j:log4j-api,org.jsoup:jsoup,13,158,133,0.08,0.1,0.1
com.alibaba:fastjson,javax.xml.bind:jaxb-api,8,207,169,0.04,0.05,0.05
com.fasterxml.jackson.core:jackson-databind,org.testng:testng,58,453,158,0.13,0.37,0.37
org.apache.maven.plugin-tools:maven-plugin-annotations,org.junit.jupiter:junit-jupiter-api,19,132,164,0.14,0.12,0.14
javax.validation:validation-api,org.json:json,15,110,137,0.14,0.11,0.14
commons-beanutils:commons-beanutils,javax.servlet:servlet-api,38,163,158,0.23,0.24,0.24
commons-beanutils:commons-beanutils,org.postgresql:postgresql,28,163,134,0.17,0.21,0.21
org.junit.jupiter:junit-jupiter-api,org.springframework:spring-beans,14,164,151,0.09,0.09,0.09
commons-codec:commons-codec,org.springframework:spring-context,86,356,240,0.24,0.36,0.36
commons-lang:commons-lang,org.powermock:powermock-module-junit4,37,271,118,0.14,0.31,0.31
commons-lang:commons-lang,org.apache.maven:maven-plugin-api,36,271,156,0.13,0.23,0.23
org.apache.httpcomponents:httpcore,org.bouncycastle:bcprov-jdk15on,27,152,106,0.18,0.25,0.25
org.apache.maven:maven-plugin-api,org.mockito:mockito-all,23,156,210,0.15,0.11,0.15
org.eclipse.jetty:jetty-server,org.springframework:spring-context,42,148,240,0.28,0.18,0.28
org.slf4j:jcl-over-slf4j,org.springframework:spring-test,50,173,188,0.29,0.27,0.29
org.apache.logging.log4j:log4j-api,org.eclipse.jetty:jetty-server,23,158,148,0.15,0.16,0.16
org.apache.logging.log4j:log4j-api,org.javassist:javassist,20,158,132,0.13,0.15,0.15
commons-io:commons-io,org.easymock:easymock,58,614,104,0.09,0.56,0.56
org.javassist:javassist,org.springframework:spring-web,19,132,161,0.14,0.12,0.14
commons-cli:commons-cli,org.apache.commons:commons-compress,44,223,121,0.2,0.36,0.36
javax.annotation:javax.annotation-api,org.powermock:powermock-module-junit4,13,122,118,0.11,0.11,0.11
com.google.code.findbugs:jsr305,commons-fileupload:commons-fileupload,18,167,148,0.11,0.12,0.12
com.google.code.findbugs:jsr305,javax.validation:validation-api,19,167,110,0.11,0.17,0.17
com.fasterxml.jackson.core:jackson-annotations,mysql:mysql-connector-java,71,237,326,0.3,0.22,0.3
org.slf4j:slf4j-log4j12,org.testng:testng,38,301,158,0.13,0.24,0.24
org.hamcrest:hamcrest-core,org.hsqldb:hsqldb,18,137,120,0.13,0.15,0.15
commons-lang:commons-lang,commons-logging:commons-logging,77,271,217,0.28,0.35,0.35
org.junit.jupiter:junit-jupiter-engine,org.postgresql:postgresql,19,200,134,0.1,0.14,0.14
mysql:mysql-connector-java,org.apache.commons:commons-text,21,326,103,0.06,0.2,0.2
org.bouncycastle:bcprov-jdk15on,org.mockito:mockito-core,44,106,504,0.42,0.09,0.42
org.slf4j:jcl-over-slf4j,org.testng:testng,22,173,158,0.13,0.14,0.14
org.assertj:assertj-core,org.springframework:spring-test,42,243,188,0.17,0.22,0.22
org.apache.httpcomponents:httpclient,org.springframework:spring-core,73,384,186,0.19,0.39,0.39
log4j:log4j,org.hibernate:hibernate-core,44,296,114,0.15,0.39,0.39
log4j:log4j,org.apache.commons:commons-lang3,105,296,548,0.35,0.19,0.35
org.javassist:javassist,org.powermock:powermock-module-junit4,18,132,118,0.14,0.15,0.15
commons-cli:commons-cli,org.slf4j:slf4j-api,139,223,795,0.62,0.17,0.62
com.alibaba:fastjson,org.slf4j:slf4j-api,87,207,795,0.42,0.11,0.42
commons-collections:commons-collections,org.json:json,25,163,137,0.15,0.18,0.18
javax.annotation:javax.annotation-api,org.eclipse.jetty:jetty-servlet,20,122,114,0.16,0.18,0.18
com.fasterxml.jackson.core:jackson-databind,org.springframework:spring-webmvc,76,453,142,0.17,0.54,0.54
javax.servlet:javax.servlet-api,org.apache.commons:commons-compress,39,281,121,0.14,0.32,0.32
org.hamcrest:hamcrest-core,org.yaml:snakeyaml,20,137,143,0.15,0.14,0.15
org.apache.logging.log4j:log4j-slf4j-impl,redis.clients:jedis,19,120,111,0.16,0.17,0.17
org.apache.maven:maven-plugin-api,org.eclipse.jetty:jetty-servlet,18,156,114,0.12,0.16,0.16
org.apache.maven:maven-plugin-api,org.bouncycastle:bcprov-jdk15on,10,156,106,0.06,0.09,0.09
javax.xml.bind:jaxb-api,org.projectlombok:lombok,19,169,233,0.11,0.08,0.11
javax.servlet:servlet-api,org.javassist:javassist,18,158,132,0.11,0.14,0.14
org.apache.logging.log4j:log4j-api,org.springframework:spring-context,32,158,240,0.2,0.13,0.2
org.apache.logging.log4j:log4j-api,org.testng:testng,19,158,158,0.12,0.12,0.12
commons-collections:commons-collections,org.mockito:mockito-core,55,163,504,0.34,0.11,0.34
ch.qos.logback:logback-classic,com.squareup.okhttp3:okhttp,30,381,131,0.08,0.23,0.23
org.springframework:spring-core,redis.clients:jedis,21,186,111,0.11,0.19,0.19
com.google.protobuf:protobuf-java,org.slf4j:jcl-over-slf4j,20,152,173,0.13,0.12,0.13
org.mockito:mockito-all,org.powermock:powermock-module-junit4,30,210,118,0.14,0.25,0.25
org.mockito:mockito-all,org.springframework:spring-core,36,210,186,0.17,0.19,0.19
joda-time:joda-time,org.postgresql:postgresql,37,222,134,0.17,0.28,0.28
commons-codec:commons-codec,org.junit.jupiter:junit-jupiter-api,36,356,164,0.1,0.22,0.22
org.apache.logging.log4j:log4j-core,org.easymock:easymock,14,202,104,0.07,0.13,0.13
org.junit.jupiter:junit-jupiter-engine,org.slf4j:jcl-over-slf4j,24,200,173,0.12,0.14,0.14
org.assertj:assertj-core,org.eclipse.jetty:jetty-servlet,25,243,114,0.1,0.22,0.22
javax.annotation:javax.annotation-api,org.hsqldb:hsqldb,12,122,120,0.1,0.1,0.1
ch.qos.logback:logback-classic,org.apache.commons:commons-text,30,381,103,0.08,0.29,0.29
org.hamcrest:hamcrest-all,org.mockito:mockito-core,60,138,504,0.43,0.12,0.43
com.fasterxml.jackson.core:jackson-databind,org.springframework:spring-jdbc,64,453,130,0.14,0.49,0.49
org.apache.commons:commons-text,org.postgresql:postgresql,21,103,134,0.2,0.16,0.2
org.apache.commons:commons-text,org.springframework:spring-core,14,103,186,0.14,0.08,0.14
javax.servlet:javax.servlet-api,javax.xml.bind:jaxb-api,57,281,169,0.2,0.34,0.34
commons-codec:commons-codec,org.mockito:mockito-all,58,356,210,0.16,0.28,0.28
commons-codec:commons-codec,org.springframework:spring-test,73,356,188,0.21,0.39,0.39
org.apache.logging.log4j:log4j-core,org.assertj:assertj-core,33,202,243,0.16,0.14,0.16
mysql:mysql-connector-java,org.assertj:assertj-core,33,326,243,0.1,0.14,0.14
org.apache.httpcomponents:httpcore,org.hibernate:hibernate-core,18,152,114,0.12,0.16,0.16
org.apache.maven:maven-core,org.slf4j:slf4j-simple,20,112,223,0.18,0.09,0.18
javax.xml.bind:jaxb-api,org.springframework:spring-web,32,169,161,0.19,0.2,0.2
javax.servlet:servlet-api,org.springframework:spring-webmvc,50,158,142,0.32,0.35,0.35
org.apache.httpcomponents:httpclient,org.apache.maven.plugin-tools:maven-plugin-annotations,35,384,132,0.09,0.27,0.27
org.apache.commons:commons-compress,org.slf4j:slf4j-simple,15,121,223,0.12,0.07,0.12
org.apache.commons:commons-compress,org.hamcrest:hamcrest-all,17,121,138,0.14,0.12,0.14
org.hamcrest:hamcrest-library,org.mockito:mockito-core,77,136,504,0.57,0.15,0.57
com.google.code.findbugs:jsr305,org.postgresql:postgresql,23,167,134,0.14,0.17,0.17
ch.qos.logback:logback-classic,org.bouncycastle:bcprov-jdk15on,32,381,106,0.08,0.3,0.3
com.fasterxml.jackson.core:jackson-annotations,org.json:json,42,237,137,0.18,0.31,0.31
com.google.guava:guava,org.hamcrest:hamcrest-library,70,680,136,0.1,0.51,0.51
com.google.guava:guava,commons-cli:commons-cli,133,680,223,0.2,0.6,0.6
javax.servlet:javax.servlet-api,org.javassist:javassist,42,281,132,0.15,0.32,0.32
org.apache.maven.plugin-tools:maven-plugin-annotations,org.testng:testng,15,132,158,0.11,0.09,0.11
commons-beanutils:commons-beanutils,org.javassist:javassist,33,163,132,0.2,0.25,0.25
com.fasterxml.jackson.core:jackson-core,org.apache.maven.plugin-tools:maven-plugin-annotations,32,287,132,0.11,0.24,0.24
commons-codec:commons-codec,org.yaml:snakeyaml,56,356,143,0.16,0.39,0.39
junit:junit,log4j:log4j,246,1314,296,0.19,0.83,0.83
org.apache.httpcomponents:httpcore,org.springframework:spring-web,30,152,161,0.2,0.19,0.2
org.apache.maven:maven-core,org.testng:testng,16,112,158,0.14,0.1,0.14
org.apache.commons:commons-collections4,org.springframework:spring-webmvc,15,109,142,0.14,0.11,0.14
com.alibaba:fastjson,com.fasterxml.jackson.core:jackson-annotations,28,207,237,0.14,0.12,0.14
org.hibernate:hibernate-core,org.yaml:snakeyaml,20,114,143,0.18,0.14,0.18
org.openjdk.jmh:jmh-core,org.yaml:snakeyaml,9,100,143,0.09,0.06,0.09
com.google.guava:guava,org.javassist:javassist,66,680,132,0.1,0.5,0.5
com.google.guava:guava,javax.xml.bind:jaxb-api,81,680,169,0.12,0.48,0.48
javax.validation:validation-api,org.eclipse.jetty:jetty-server,16,110,148,0.15,0.11,0.15
org.hamcrest:hamcrest-core,org.json:json,10,137,137,0.07,0.07,0.07
org.hamcrest:hamcrest-core,org.hamcrest:hamcrest-library,59,137,136,0.43,0.43,0.43
com.fasterxml.jackson.core:jackson-core,org.eclipse.jetty:jetty-server,55,287,148,0.19,0.37,0.37
org.apache.maven:maven-plugin-api,org.hibernate:hibernate-core,15,156,114,0.1,0.13,0.13
org.apache.maven:maven-core,org.springframework:spring-beans,13,112,151,0.12,0.09,0.12
org.eclipse.jetty:jetty-server,org.slf4j:slf4j-log4j12,55,148,301,0.37,0.18,0.37
commons-collections:commons-collections,org.apache.commons:commons-lang3,95,163,548,0.58,0.17,0.58
org.apache.commons:commons-math3,org.slf4j:slf4j-api,59,107,795,0.55,0.07,0.55
org.apache.commons:commons-lang3,org.easymock:easymock,45,548,104,0.08,0.43,0.43
org.hamcrest:hamcrest-all,org.hibernate:hibernate-core,12,138,114,0.09,0.11,0.11
org.hamcrest:hamcrest-all,org.springframework:spring-beans,16,138,151,0.12,0.11,0.12
com.fasterxml.jackson.core:jackson-databind,org.hibernate:hibernate-core,45,453,114,0.1,0.39,0.39
org.testng:testng,org.yaml:snakeyaml,20,158,143,0.13,0.14,0.14
org.apache.maven.plugin-tools:maven-plugin-annotations,org.hamcrest:hamcrest-library,20,132,136,0.15,0.15,0.15
javax.inject:javax.inject,org.apache.commons:commons-collections4,12,109,109,0.11,0.11,0.11
commons-beanutils:commons-beanutils,log4j:log4j,49,163,296,0.3,0.17,0.3
org.mockito:mockito-all,org.springframework:spring-test,32,210,188,0.15,0.17,0.17
commons-codec:commons-codec,commons-fileupload:commons-fileupload,74,356,148,0.21,0.5,0.5
commons-codec:commons-codec,org.javassist:javassist,57,356,132,0.16,0.43,0.43
junit:junit,org.projectlombok:lombok,125,1314,233,0.1,0.54,0.54
org.apache.logging.log4j:log4j-core,org.apache.zookeeper:zookeeper,23,202,107,0.11,0.21,0.21
mysql:mysql-connector-java,org.apache.logging.log4j:log4j-slf4j-impl,35,326,120,0.11,0.29,0.29
org.easymock:easymock,redis.clients:jedis,7,104,111,0.07,0.06,0.07
javax.xml.bind:jaxb-api,org.junit.jupiter:junit-jupiter-engine,28,169,200,0.17,0.14,0.17
com.h2database:h2,commons-fileupload:commons-fileupload,40,211,148,0.19,0.27,0.27
com.h2database:h2,org.apache.commons:commons-compress,33,211,121,0.16,0.27,0.27
com.h2database:h2,org.postgresql:postgresql,63,211,134,0.3,0.47,0.47
io.netty:netty-all,org.slf4j:slf4j-simple,13,125,223,0.1,0.06,0.1
org.apache.zookeeper:zookeeper,org.yaml:snakeyaml,31,107,143,0.29,0.22,0.29
org.apache.commons:commons-text,org.springframework:spring-webmvc,14,103,142,0.14,0.1,0.14
com.squareup.okhttp3:okhttp,joda-time:joda-time,23,131,222,0.18,0.1,0.18
com.squareup.okhttp3:okhttp,commons-codec:commons-codec,39,131,356,0.3,0.11,0.3
com.fasterxml.jackson.core:jackson-annotations,org.mockito:mockito-core,101,237,504,0.43,0.2,0.43
org.apache.logging.log4j:log4j-slf4j-impl,org.easymock:easymock,6,120,104,0.05,0.06,0.06
org.bouncycastle:bcprov-jdk15on,org.projectlombok:lombok,16,106,233,0.15,0.07,0.15
org.json:json,org.springframework:spring-web,30,137,161,0.22,0.19,0.22
org.assertj:assertj-core,org.projectlombok:lombok,31,243,233,0.13,0.13,0.13
org.apache.httpcomponents:httpclient,org.springframework:spring-context,81,384,240,0.21,0.34,0.34
org.apache.httpcomponents:httpclient,org.hamcrest:hamcrest-core,37,384,137,0.1,0.27,0.27
commons-io:commons-io,redis.clients:jedis,41,614,111,0.07,0.37,0.37
org.hamcrest:hamcrest-library,redis.clients:jedis,11,136,111,0.08,0.1,0.1
commons-cli:commons-cli,javax.xml.bind:jaxb-api,41,223,169,0.18,0.24,0.24
org.apache.commons:commons-math3,org.apache.logging.log4j:log4j-api,17,107,158,0.16,0.11,0.16
org.hamcrest:hamcrest-all,org.jsoup:jsoup,6,138,133,0.04,0.05,0.05
