repositoryName1,repositoryName2,intersection,similarity
bytedeco/javacpp,mathieucarbou/license-maven-plugin,"[annotations, apache, build, build-system, maven, metadata, plugin, tools]",0.8
talios/clojure-maven-plugin,temyers/cucumber-jvm-parallel-plugin,"[annotations, apache, build, build-system, codehaus, maven, metadata, plugin, tools]",1.0
oracle/oracle-db-examples,unicode-org/cldr,"[api, javax, servlet, specs, standard]",0.83
nurkiewicz/async-retry,zhoumengkang/netty-restful-server,[logging],1.0
AzureAD/microsoft-authentication-library-for-java,oldmanpushcart/greys-anatomy,[logging],1.0
AzureAD/microsoft-authentication-library-for-java,nurkiewicz/async-retry,[logging],1.0
mp911de/logstash-gelf,spotify/sparkey-java,[logging],1.0
WeiYe-Jing/datax-web,wxgzgl/LarkMidTable,"[apache, api, bootstrap, client, codehaus, database, github, groovy, hadoop, hbase, io, jdbc, jvm, language, logging, native, sql, swagger, ui]",0.95
kilim/kilim,luontola/retrolambda,"[annotations, apache, build, build-system, maven, metadata, plugin, tools]",0.8
biojava/biojava,finmath/finmath-lib,"[engine, junit, testing]",1.0
JnRouvignac/AutoRefactor,spotify/sparkey-java,[logging],1.0
Hive2Hive/Hive2Hive,vassalengine/vassal,[logging],1.0
CleverTap/apns-http2,socketio/engine.io-client-java,"[client, http]",1.0
FasterXML/jackson-dataformats-binary,red6/pdfcompare,[logging],1.0
FasterXML/jackson-dataformats-binary,vassalengine/vassal,[logging],1.0
javaee/security-soteria,ozlerhakan/rapid,"[api, javaee, javax, specs, standard]",0.71
bytedeco/javacpp,rohanpadhye/JQF,"[annotations, apache, build, build-system, maven, metadata, plugin, tools]",0.89
mariadb-corporation/mariadb-connector-j,zhoumengkang/netty-restful-server,[logging],1.0
QSFT/Doradus,xuxueli/xxl-sso,"[api, javax, servlet, specs, standard]",0.83
gmu-swe/phosphor,jimbethancourt/RefactorFirst,"[annotations, apache, build, build-system, maven, metadata, plugin, tools]",0.73
chhsiao90/nitmproxy,scorego/WechatRobot,[logging],1.0
johnlpage/POCDriver,wangweiX/blockchain-java,[logging],1.0
karcan/javaBootcamp,loda-kun/spring-boot-learning,"[api, io, swagger]",1.0
k-tamura/easybuggy,unicode-org/cldr,"[api, javax, servlet, specs, standard]",0.71
knowm/Sundial,resthub/springmvc-router,"[api, javax, servlet, specs, standard]",0.71
tdunning/t-digest,vmware/differential-datalog,[apache],1.0
OpenAPITools/openapi-diff,tunnelvisionlabs/antlr4cs,"[annotations, apache, build, build-system, maven, metadata, plugin, tools]",0.73
Hive2Hive/Hive2Hive,wangweiX/blockchain-java,[logging],1.0
lgxqf/UICrawler,scorego/WechatRobot,[logging],1.0
FasterXML/jackson-dataformats-binary,jagrosh/Vortex,[logging],1.0
javaswift/joss,jawi/ols,"[junit, testing]",1.0
amaembo/huntbugs,fusesource/hawtjni,"[annotations, apache, build, build-system, codehaus, maven, metadata, plugin, tools]",0.9
j256/simplemagic,zhoumengkang/netty-restful-server,[logging],1.0
micronaut-projects/micronaut-examples,postgis/postgis-java,[logging],1.0
Vatuu/discord-rpc,nativelibs4java/BridJ,[native],1.0
88250/symphony,zxbu/webdav-aliyundriver,"[client, http]",1.0
HashDataInc/bireme,jenkinsci/ec2-plugin,"[junit, mock, mocking, module, testing]",0.71
TNG/JGiven,mojo-executor/mojo-executor,"[annotations, apache, build, build-system, junit, maven, metadata, plugin, testing, tools]",0.83
spotify/dockerfile-maven,tada/pljava,"[annotations, apache, build, build-system, maven, metadata, plugin, tools]",0.8
ps3mediaserver/ps3mediaserver,talsma-ict/umldoclet,[logging],1.0
timols/java-gitlab-api,usethesource/capsule,"[engine, junit, testing]",0.75
OWASP/java-html-sanitizer,davidmoten/rxjava2-jdbc,"[analysis, annotations, defect, google, metadata]",0.83
gaul/modernizer-maven-plugin,tada/pljava,"[annotations, apache, build, build-system, maven, metadata, plugin, tools]",0.73
mauricioaniche/ck,recommenders/rival,"[apache, commons, csv, tabular]",0.8
heibaiying/Full-Stack-Notes,xtuhcy/gecco,[bytecode],1.0
codelibs/elasticsearch-taste,pmerienne/trident-ml,"[analyzer, apache, index, lucene]",1.0
javaee/javamail,voodoodyne/subethasmtp,"[javax, specs, standard]",0.75
dunwu/java-tutorial,j-easy/easy-rules,"[api, javax, servlet, specs, standard]",0.71
lgxqf/UICrawler,wangweiX/blockchain-java,[logging],1.0
FangStarNet/symphonyx,knowm/Sundial,"[api, javax, servlet, specs, standard]",0.71
94fzb/zrlog,pac4j/spring-security-pac4j,"[api, javax, servlet, specs, standard]",0.71
cheese10yun/spring-guide,java-aodeng/hope-boot,"[api, io, swagger]",0.75
feroult/yawp,takari/takari-maven-plugin,"[annotations, apache, build, build-system, io, maven, metadata, plugin, tools]",1.0
pircbotx/pircbotx,spotify/sparkey-java,[logging],1.0
j256/simplemagic,plutext/docx4j-ImportXHTML,[logging],1.0
confluentinc/kafka-connect-jdbc,verdict-project/verdict,"[jdbc, sql, sqlite]",0.75
asterisk-java/asterisk-java,vassalengine/vassal,[logging],1.0
haosdent/jcgroup,lgxqf/UICrawler,[logging],1.0
asakusafw/asakusafw,pircbotx/pircbotx,[logging],1.0
kilim/kilim,openjfx/javafx-maven-plugin,"[annotations, apache, build, build-system, maven, metadata, plugin, tools]",0.8
kokorin/Jaffree,spotify/netty-zmtp,[logging],1.0
kokorin/Jaffree,mdeverdelhan/ta4j-origins,[logging],1.0
kokorin/Jaffree,xSAVIKx/AndroidScreencast,[logging],1.0
CloudburstMC/Protocol,Erudika/scoold,[encryption],1.0
graalvm/graalvm-demos,oracle/graal,[sdk],1.0
FasterXML/jackson-dataformats-binary,chhsiao90/nitmproxy,[logging],1.0
FasterXML/jackson-dataformats-binary,asakusafw/asakusafw,[logging],1.0
Auties00/WhatsappWeb4j,oshi/oshi,"[github, native]",1.0
kakawait/cas-security-spring-boot-starter,socketio/engine.io-server-java,"[api, javax, servlet, specs, standard]",0.83
mohamicorp/stash-jenkins-postreceive-webhook,zhegexiaohuozi/JsoupXpath,"[api, junit, mock, mocking, module, testing]",0.86
Nilhcem/FakeSMTP,xSAVIKx/AndroidScreencast,[logging],1.0
atomix/copycat,twitter-archive/cloudhopper-smpp,[logging],1.0
apache/commons-logging,xSAVIKx/AndroidScreencast,[logging],1.0
talsma-ict/umldoclet,xSAVIKx/AndroidScreencast,[logging],1.0
T-baby/MongoDB-Plugin,fasseg/exp4j,[logging],1.0
T-baby/MongoDB-Plugin,scorego/WechatRobot,[logging],1.0
RuedigerMoeller/fast-serialization,stleary/JSON-java,[json],1.0
rohanpadhye/JQF,spotify/dockerfile-maven,"[annotations, apache, build, build-system, maven, metadata, plugin, tools]",0.89
fasseg/exp4j,fluent/fluent-logger-java,[logging],1.0
eclipse/microprofile,tunnelvisionlabs/antlr4cs,"[annotations, apache, api, build, build-system, maven, metadata, plugin, tools]",0.75
peter-lawrey/Java-Thread-Affinity,shannah/Java-Objective-C-Bridge,[native],1.0
gaul/modernizer-maven-plugin,paul-hammant/paranamer,"[annotations, apache, build, build-system, maven, metadata, plugin, tools]",0.8
kilim/kilim,spotify/dockerfile-maven,"[annotations, apache, build, build-system, maven, metadata, plugin, tools]",0.89
SQLDroid/SQLDroid,wuman/android-oauth-client,[testing],1.0
biojava/biojava,timols/java-gitlab-api,"[engine, junit, testing]",0.75
tada/pljava,takari/takari-maven-plugin,"[annotations, apache, build, build-system, maven, metadata, plugin, tools]",0.8
OpenAPITools/openapi-diff,fusesource/hawtjni,"[annotations, apache, build, build-system, maven, metadata, plugin, tools]",0.73
ben-manes/caffeine,bitrich-info/xchange-stream,"[io, reactive]",1.0
FasterXML/jackson-dataformats-binary,ttddyy/datasource-proxy,[logging],1.0
94fzb/zrlog,dunwu/java-tutorial,"[api, javax, servlet, specs, standard]",0.71
dCache/nfs4j,hyperledger/fabric-chaincode-java,[logging],1.0
Nilhcem/FakeSMTP,scorego/WechatRobot,[logging],1.0
oskopek/javaanpr,ps3mediaserver/ps3mediaserver,[logging],1.0
amaembo/huntbugs,rohanpadhye/JQF,"[annotations, apache, build, build-system, maven, metadata, plugin, tools]",0.89
j256/simplemagic,vassalengine/vassal,[logging],1.0
fasseg/exp4j,postgis/postgis-java,[logging],1.0
games647/LagMonitor,lejon/T-SNE-Java,[github],1.0
games647/LagMonitor,smart-doc-group/smart-doc,[github],1.0
AgNO3/jcifs-ng,unicode-org/cldr,"[api, javax, servlet, specs, standard]",0.83
Sayi/poi-tl,ttddyy/datasource-proxy,[logging],1.0
AlmasB/FXGL,sanger-pathogens/Artemis,[github],1.0
lejon/T-SNE-Java,smart-doc-group/smart-doc,[github],1.0
arangodb/arangodb-java-driver,j256/simplemagic,[logging],1.0
coinbase/coinbase-java,jenkinsci/gerrit-trigger-plugin,"[api, junit, mock, mocking, module, testing]",0.75
GeyserMC/GeyserConnect,petterobam/database-oop,"[jdbc, sql, sqlite]",1.0
Nilhcem/FakeSMTP,apache/commons-logging,[logging],1.0
antlr/antlr4,luontola/retrolambda,"[annotations, apache, api, build, build-system, codehaus, maven, metadata, plugin, tools]",0.77
atomix/copycat,zhoumengkang/netty-restful-server,[logging],1.0
codedrinker/community,upyun/java-sdk,"[client, http]",1.0
hyperledger/fabric-chaincode-java,vassalengine/vassal,[logging],1.0
rohanpadhye/JQF,temyers/cucumber-jvm-parallel-plugin,"[annotations, apache, build, build-system, maven, metadata, plugin, tools]",0.89
AgNO3/jcifs-ng,TheCoder4eu/BootsFaces-OSP,"[api, javax, servlet, specs, standard]",1.0
haosdent/jcgroup,scorego/WechatRobot,[logging],1.0
Scrin/RuuviCollector,zalando/zalenium,"[apache, io, logging, prometheus]",0.8
mp911de/logstash-gelf,red6/pdfcompare,[logging],1.0
asakusafw/asakusafw,hyperledger/fabric-chaincode-java,[logging],1.0
red6/pdfcompare,twitter-archive/cloudhopper-smpp,[logging],1.0
j-easy/easy-rules,knowm/Sundial,"[api, javax, servlet, specs, standard]",0.71
ebourg/jsign,paul-hammant/paranamer,"[annotations, apache, build, build-system, maven, metadata, plugin, tools]",0.73
upyun/java-sdk,zhangyingwei/cockroach,"[client, http]",1.0
danieldk/dictomaton,tipsy/j2html,"[benchmark, junit, performance, testing]",0.8
apache/commons-logging,scorego/WechatRobot,[logging],1.0
pircbotx/pircbotx,zhoumengkang/netty-restful-server,[logging],1.0
facebook/nailgun,neophob/PixelController,[native],1.0
j256/simplemagic,mdeverdelhan/ta4j-origins,[logging],1.0
micronaut-projects/micronaut-examples,mp911de/logstash-gelf,[logging],1.0
T-baby/MongoDB-Plugin,wangweiX/blockchain-java,[logging],1.0
88250/symphony,upyun/java-sdk,"[client, http]",1.0
ps3mediaserver/ps3mediaserver,spotify/sparkey-java,[logging],1.0
eclipse/microprofile,gmu-swe/phosphor,"[annotations, apache, build, build-system, maven, metadata, plugin, tools]",0.73
jobrunr/jobrunr,stefanbirkner/system-rules,"[junit, testing]",1.0
haosdent/jcgroup,oldmanpushcart/greys-anatomy,[logging],1.0
apache/commons-collections,apache/incubator-retired-gossip,"[engine, junit, testing]",1.0
apache/commons-collections,barend/java-iban,"[engine, junit, testing]",1.0
asakusafw/asakusafw,wangweiX/blockchain-java,[logging],1.0
chhsiao90/nitmproxy,postgis/postgis-java,[logging],1.0
biojava/biojava,serenity-bdd/serenity-cucumber-starter,"[engine, junit, testing]",0.75
JnRouvignac/AutoRefactor,twitter-archive/cloudhopper-smpp,[logging],1.0
JnRouvignac/AutoRefactor,talsma-ict/umldoclet,[logging],1.0
highcharts/highcharts-export-server,knowm/Sundial,"[api, javax, servlet, specs, standard]",0.83
fabric8io/elasticsearch-cloud-kubernetes,git-moss/DrivenByMoss,[native],1.0
TheCoder4eu/BootsFaces-OSP,knowm/Sundial,"[api, javax, servlet, specs, standard]",1.0
jagrosh/Vortex,plutext/docx4j-ImportXHTML,[logging],1.0
oskopek/javaanpr,spotify/sparkey-java,[logging],1.0
mariadb-corporation/mariadb-connector-j,msemys/esjc,[logging],1.0
asciidoctor/asciidoclet,coinbase/coinbase-java,"[api, junit, mock, mocking, module, testing]",1.0
j256/simplemagic,ps3mediaserver/ps3mediaserver,[logging],1.0
T-baby/MongoDB-Plugin,spotify/sparkey-java,[logging],1.0
mslosarz/nextrtc-signaling-server,peholmst/vaadin4spring,"[spring, testing]",1.0
greenrobot/essentials,wuman/android-oauth-client,[testing],1.0
samaxes/minify-maven-plugin,ulisesbocchio/jasypt-spring-boot,"[annotations, apache, build, build-system, maven, metadata, plugin, tools]",0.8
mangstadt/ez-vcard,sanger-pathogens/Artemis,[github],1.0
AzureAD/microsoft-authentication-library-for-java,postgis/postgis-java,[logging],1.0
goldmansachs/reladomo,j-easy/easy-rules,"[api, javax, servlet, specs, standard]",0.71
jimbethancourt/RefactorFirst,samaxes/minify-maven-plugin,"[annotations, apache, build, build-system, maven, metadata, plugin, tools]",0.73
Sayi/poi-tl,haosdent/jcgroup,[logging],1.0
spotify/sparkey-java,xSAVIKx/AndroidScreencast,[logging],1.0
Multiverse/Multiverse-Core,Plugily-Projects/BuildBattle,"[analysis, annotations, defect, metadata]",1.0
finmath/finmath-lib,timols/java-gitlab-api,"[engine, junit, testing]",0.75
paul-hammant/paranamer,sdbg/sdbg,"[annotations, apache, build, build-system, maven, metadata, plugin, tools]",1.0
dCache/nfs4j,mariadb-corporation/mariadb-connector-j,[logging],1.0
Nilhcem/FakeSMTP,thiagolocatelli/parse4j,[logging],1.0
oskopek/javaanpr,xSAVIKx/AndroidScreencast,[logging],1.0
codelibs/fess,okleine/nCoAP,"[cli, parser]",1.0
apache/commons-logging,ps3mediaserver/ps3mediaserver,[logging],1.0
3pillarlabs/socialauth,spring-projects/spring-security-javaconfig,[bytecode],1.0
micronaut-projects/micronaut-examples,red6/pdfcompare,[logging],1.0
MarcGiffing/bucket4j-spring-boot-starter,TDuckCloud/tduck-platform,"[github, spring, starter]",0.75
naver/volley-extensions,zhegexiaohuozi/JsoupXpath,"[api, junit, mock, mocking, module, testing]",0.75
socketio/engine.io-server-java,xuxueli/xxl-sso,"[api, javax, servlet, specs, standard]",0.83
fusesource/hawtjni,takari/takari-maven-plugin,"[annotations, apache, build, build-system, maven, metadata, plugin, tools]",0.73
AgNO3/jcifs-ng,k-tamura/easybuggy,"[api, javax, servlet, specs, standard]",0.83
dodie/scott,spotify/dockerfile-maven,"[annotations, apache, build, build-system, maven, metadata, plugin, tools]",0.89
baomidou/mybatis-plus-samples,pac4j/spring-security-pac4j,"[api, javax, servlet, specs, standard]",0.71
openjfx/javafx-maven-plugin,tbroyer/gwt-maven-plugin,"[annotations, apache, build, build-system, codehaus, maven, metadata, plugin, tools]",0.75
mangstadt/biweekly,mangstadt/ez-vcard,[github],1.0
jcabi/jcabi-aspects,thiagolocatelli/parse4j,[logging],1.0
alexec/docker-maven-plugin,hcoles/pitest,"[annotations, apache, api, build, build-system, codehaus, junit, maven, metadata, mock, mocking, module, plugin, testing, tools]",0.71
FangStarNet/symphonyx,oracle/oracle-db-examples,"[api, javax, servlet, specs, standard]",0.71
Crab2died/Excel4J,signalapp/Signal-Server,"[apache, commons, csv, tabular]",0.8
nativelibs4java/BridJ,shannah/Java-Objective-C-Bridge,[native],1.0
aadnk/ProtocolLib,jmrozanec/cron-utils,"[junit, mock, mocking, module, testing]",0.71
spotify/dataenum,square/protoparser,[google],1.0
FasterXML/jackson-dataformats-text,docbleach/DocBleach,"[analysis, annotations, defect, metadata]",0.8
mojo-executor/mojo-executor,trivago/cluecumber-report-plugin,"[annotations, apache, build, build-system, codehaus, junit, maven, metadata, plugin, testing, tools]",0.73
chhsiao90/nitmproxy,fluent/fluent-logger-java,[logging],1.0
paul-hammant/paranamer,ulisesbocchio/jasypt-spring-boot,"[annotations, apache, build, build-system, maven, metadata, plugin, tools]",0.8
fabric8io/elasticsearch-cloud-kubernetes,nokia/RED,[native],1.0
walkmod/walkmod-core,xuxueli/xxl-job,"[codehaus, groovy, jvm, language]",1.0
94fzb/zrlog,xuxueli/xxl-sso,"[api, javax, servlet, specs, standard]",0.71
dCache/nfs4j,lgxqf/UICrawler,[logging],1.0
dCache/nfs4j,pircbotx/pircbotx,[logging],1.0
amaembo/huntbugs,luontola/retrolambda,"[annotations, apache, build, build-system, codehaus, maven, metadata, plugin, tools]",0.9
atomix/copycat,vassalengine/vassal,[logging],1.0
Syncleus/aparapi,criteo/babar,"[jvm, language, library, scala]",1.0
eclipse/microprofile-rest-client,r2dbc/r2dbc-spi,"[reactive, streaming]",1.0
luontola/retrolambda,rohanpadhye/JQF,"[annotations, apache, build, build-system, maven, metadata, plugin, tools]",0.8
kilim/kilim,rohanpadhye/JQF,"[annotations, apache, build, build-system, maven, metadata, plugin, tools]",1.0
Sayi/poi-tl,spotify/sparkey-java,[logging],1.0
jcabi/jcabi-aspects,ps3mediaserver/ps3mediaserver,[logging],1.0
kiegroup/jbpm,soot-oss/soot,"[junit, mock, mocking, module, testing]",0.71
MarkusBernhardt/proxy-vole,peter-lawrey/Java-Thread-Affinity,[native],1.0
Nilhcem/FakeSMTP,haosdent/jcgroup,[logging],1.0
SERG-Delft/jpacman-framework,serenity-bdd/serenity-cucumber-starter,"[engine, junit, testing]",0.75
SERG-Delft/jpacman-framework,hyperledger/fabric-gateway-java,"[engine, junit, testing]",0.75
mariadb-corporation/mariadb-connector-j,oldmanpushcart/greys-anatomy,[logging],1.0
lexburner/dubbo-mesh,zhangyingwei/cockroach,"[client, http]",1.0
apache/commons-logging,mp911de/logstash-gelf,[logging],1.0
Ekryd/sortpom,tada/pljava,"[annotations, apache, build, build-system, maven, metadata, plugin, tools]",0.89
hyperledger/fabric-chaincode-java,wangweiX/blockchain-java,[logging],1.0
alibaba/jvm-sandbox,oracle/oracle-db-examples,"[api, javax, servlet, specs, standard]",0.71
asterisk-java/asterisk-java,plutext/docx4j-ImportXHTML,[logging],1.0
AzureAD/microsoft-authentication-library-for-java,fluent/fluent-logger-java,[logging],1.0
aleksandr-m/gitflow-maven-plugin,openjfx/javafx-maven-plugin,"[annotations, apache, build, build-system, codehaus, maven, metadata, plugin, tools]",0.82
jpaulm/drawfbp,liuweiran900217/CloudCrypto,[math],1.0
chhsiao90/nitmproxy,vassalengine/vassal,[logging],1.0
jmapper-framework/jmapper-core,zsmartsystems/com.zsmartsystems.zigbee,[xml],1.0
SpoutDev/Vanilla,zhegexiaohuozi/JsoupXpath,"[api, junit, mock, mocking, module, testing]",0.86
jcabi/jcabi-aspects,nurkiewicz/async-retry,[logging],1.0
FangStarNet/symphonyx,omnifaces/omnifaces,"[api, javax, servlet, specs, standard]",0.71
jagrosh/Vortex,twitter-archive/cloudhopper-smpp,[logging],1.0
kcctl/kcctl,lejon/T-SNE-Java,[github],1.0
apache/commons-logging,zhoumengkang/netty-restful-server,[logging],1.0
hprose/hprose-java,oracle/oracle-db-examples,"[api, javax, servlet, specs, standard]",1.0
sosy-lab/java-smt,unicode-org/cldr,"[api, javax, servlet, specs, standard]",0.83
aleksandr-m/gitflow-maven-plugin,mathieucarbou/license-maven-plugin,"[annotations, apache, build, build-system, codehaus, maven, metadata, plugin, tools]",0.9
kaiwaehner/kafka-streams-machine-learning-examples,streamnative/kop,"[io, kafka, registry, schema, streaming]",0.71
Sayi/poi-tl,kokorin/Jaffree,[logging],1.0
nacos-group/nacos-spring-project,resthub/springmvc-router,"[api, javax, servlet, specs, spring, standard, testing]",1.0
aikar/commands,bernardosulzbach/dungeon,"[analysis, annotations, defect, metadata]",1.0
dunwu/java-tutorial,oracle/oracle-db-examples,"[api, javax, servlet, specs, standard]",1.0
bujiio/buji-pac4j,nacos-group/nacos-spring-project,"[api, javax, servlet, specs, standard]",0.71
bujiio/buji-pac4j,hprose/hprose-java,"[api, javax, servlet, specs, standard]",1.0
msemys/esjc,ps3mediaserver/ps3mediaserver,[logging],1.0
paul-hammant/paranamer,temyers/cucumber-jvm-parallel-plugin,"[annotations, apache, build, build-system, maven, metadata, plugin, tools]",0.89
jagrosh/Vortex,vassalengine/vassal,[logging],1.0
Nilhcem/FakeSMTP,ttddyy/datasource-proxy,[logging],1.0
mathieucarbou/license-maven-plugin,paul-hammant/paranamer,"[annotations, apache, build, build-system, maven, metadata, plugin, tools]",0.89
nurkiewicz/async-retry,oskopek/javaanpr,[logging],1.0
asterisk-java/asterisk-java,dCache/nfs4j,[logging],1.0
haosdent/jcgroup,zhoumengkang/netty-restful-server,[logging],1.0
luontola/retrolambda,temyers/cucumber-jvm-parallel-plugin,"[annotations, apache, build, build-system, codehaus, maven, metadata, plugin, tools]",0.9
apache/xmlgraphics-fop,voodoodyne/subethasmtp,"[javax, specs, standard]",0.75
Sayi/poi-tl,fluent/fluent-logger-java,[logging],1.0
mangstadt/biweekly,smart-doc-group/smart-doc,[github],1.0
jcabi/jcabi-aspects,scorego/WechatRobot,[logging],1.0
msemys/esjc,zhoumengkang/netty-restful-server,[logging],1.0
arangodb/arangodb-java-driver,fluent/fluent-logger-java,[logging],1.0
FasterXML/jackson-dataformats-binary,nurkiewicz/async-retry,[logging],1.0
jagrosh/Vortex,pircbotx/pircbotx,[logging],1.0
mariadb-corporation/mariadb-connector-j,wangweiX/blockchain-java,[logging],1.0
Devskiller/jfairy,authorjapps/zerocode,"[dependency-injection, engine, google, junit, logging, testing]",0.75
tbroyer/gwt-maven-plugin,tunnelvisionlabs/antlr4cs,"[annotations, apache, api, build, build-system, codehaus, maven, metadata, plugin, tools]",0.91
samaxes/minify-maven-plugin,tada/pljava,"[annotations, apache, build, build-system, maven, metadata, plugin, tools]",0.89
dodie/scott,ulisesbocchio/jasypt-spring-boot,"[annotations, apache, build, build-system, maven, metadata, plugin, tools]",0.8
Sayi/poi-tl,jcabi/jcabi-aspects,[logging],1.0
AlmasB/FXGL,java-deobfuscator/deobfuscator,[github],1.0
JnRouvignac/AutoRefactor,T-baby/MongoDB-Plugin,[logging],1.0
serenity-bdd/serenity-cucumber-starter,usethesource/capsule,"[engine, junit, testing]",0.75
TheCoder4eu/BootsFaces-OSP,nacos-group/nacos-spring-project,"[api, javax, servlet, specs, standard]",0.71
mariadb-corporation/mariadb-connector-j,plutext/docx4j-ImportXHTML,[logging],1.0
apache/commons-logging,jagrosh/Vortex,[logging],1.0
micronaut-projects/micronaut-examples,plutext/docx4j-ImportXHTML,[logging],1.0
Luohuayu/CatServer,SafeGroceryStore/MDUT,"[jdbc, sql, sqlite]",1.0
TNG/JGiven,apache/maven-compiler-plugin,"[annotations, apache, build, build-system, maven, metadata, plugin, tools]",0.73
groupon/DotCi,jenkinsci/ghprb-plugin,"[api, client, github, jenkins, junit, mock, mocking, module, plugin, testing]",0.71
apache/commons-pool,dunwu/javacore,[bytecode],1.0
asakusafw/asakusafw,oskopek/javaanpr,[logging],1.0
gmu-swe/phosphor,kilim/kilim,"[annotations, apache, build, build-system, maven, metadata, plugin, tools]",1.0
chhsiao90/nitmproxy,wangweiX/blockchain-java,[logging],1.0
kokorin/Jaffree,plutext/docx4j-ImportXHTML,[logging],1.0
johnlpage/POCDriver,red6/pdfcompare,[logging],1.0
socketio/engine.io-client-java,upyun/java-sdk,"[client, http]",1.0
gturri/aXMLRPC,mangstadt/biweekly,[github],1.0
bujiio/buji-pac4j,sosy-lab/java-smt,"[api, javax, servlet, specs, standard]",1.0
Hive2Hive/Hive2Hive,twitter-archive/cloudhopper-smpp,[logging],1.0
arangodb/arangodb-java-driver,postgis/postgis-java,[logging],1.0
FasterXML/jackson-dataformats-binary,j256/simplemagic,[logging],1.0
tomoya92/pybbs,tumblr/jumblr,"[authentication, oauth]",1.0
bytedeco/javacpp,feroult/yawp,"[annotations, apache, build, build-system, maven, metadata, plugin, tools]",0.8
atomix/copycat,mdeverdelhan/ta4j-origins,[logging],1.0
j256/simplemagic,talsma-ict/umldoclet,[logging],1.0
QSFT/Doradus,highcharts/highcharts-export-server,"[api, javax, servlet, specs, standard]",0.71
T-baby/MongoDB-Plugin,arangodb/arangodb-java-driver,[logging],1.0
nurkiewicz/async-retry,thiagolocatelli/parse4j,[logging],1.0
spotify/dockerfile-maven,temyers/cucumber-jvm-parallel-plugin,"[annotations, apache, build, build-system, codehaus, maven, metadata, plugin, tools]",1.0
elBukkit/MagicPlugin,gturri/aXMLRPC,[github],1.0
dodie/scott,tbroyer/gwt-maven-plugin,"[annotations, apache, build, build-system, maven, metadata, plugin, tools]",0.73
gmu-swe/phosphor,trivago/cucable-plugin,"[annotations, apache, build, build-system, maven, metadata, plugin, tools]",0.73
allanzhuo/yyblog,seagull1985/LuckyFrameWeb,"[apache, api, io, security, swagger]",0.71
Sayi/poi-tl,wangweiX/blockchain-java,[logging],1.0
dlsc-software-consulting-gmbh/CalendarFX,googleworkspace/java-samples,"[api, calendar, google, service]",1.0
Matthias247/jawampa,bitrich-info/xchange-stream,"[io, reactive]",1.0
lgxqf/UICrawler,micronaut-projects/micronaut-examples,[logging],1.0
SERG-Delft/jpacman-framework,pivovarit/parallel-collectors,"[engine, junit, testing]",0.75
mariadb-corporation/mariadb-connector-j,mp911de/logstash-gelf,[logging],1.0
goldmansachs/reladomo,oracle/oracle-db-examples,"[api, javax, servlet, specs, standard]",1.0
apache/incubator-retired-gossip,biojava/biojava,"[engine, junit, testing]",1.0
Mindgamesnl/OpenAudioMc,zhangyingwei/cockroach,"[client, http]",1.0
kokorin/Jaffree,zhoumengkang/netty-restful-server,[logging],1.0
finmath/finmath-lib,serenity-bdd/serenity-cucumber-starter,"[engine, junit, testing]",0.75
jmapper-framework/jmapper-core,yegor256/xembly,[xml],1.0
FasterXML/jackson-jr,upyun/java-sdk,"[client, http]",1.0
lgxqf/UICrawler,thiagolocatelli/parse4j,[logging],1.0
SERG-Delft/jpacman-framework,apache/commons-collections,"[engine, junit, testing]",1.0
mariadb-corporation/mariadb-connector-j,twitter-archive/cloudhopper-smpp,[logging],1.0
j256/simplemagic,jagrosh/Vortex,[logging],1.0
T-baby/MongoDB-Plugin,vassalengine/vassal,[logging],1.0
googleapis/gapic-generator,spotify/dataenum,[google],1.0
88250/symphony,lexburner/dubbo-mesh,"[client, http]",1.0
confluence-publisher/confluence-publisher,takari/takari-maven-plugin,"[annotations, apache, build, build-system, io, maven, metadata, plugin, tools]",0.75
sdbg/sdbg,trautonen/coveralls-maven-plugin,"[annotations, apache, build, build-system, maven, metadata, plugin, tools]",0.73
apache/maven-compiler-plugin,danielflower/multi-module-maven-release-plugin,"[annotations, apache, build, build-system, codehaus, maven, metadata, plugin, tools]",0.9
eclipse/microprofile,paul-hammant/paranamer,"[annotations, apache, build, build-system, maven, metadata, plugin, tools]",0.73
AzureAD/microsoft-authentication-library-for-java,dCache/nfs4j,[logging],1.0
asakusafw/asakusafw,dCache/nfs4j,[logging],1.0
f2prateek/progressbutton,rgladwell/m2e-android,[testing],1.0
chhsiao90/nitmproxy,mdeverdelhan/ta4j-origins,[logging],1.0
pac4j/spring-security-pac4j,unicode-org/cldr,"[api, javax, servlet, specs, standard]",0.83
joniles/mpxj,npgall/cqengine,"[jdbc, sql, sqlite]",1.0
feroult/yawp,fusesource/hawtjni,"[annotations, apache, build, build-system, maven, metadata, plugin, tools]",0.73
j256/simplemagic,kokorin/Jaffree,[logging],1.0
HashDataInc/bireme,soot-oss/soot,"[junit, mock, mocking, module, testing]",0.71
games647/LagMonitor,gturri/aXMLRPC,[github],1.0
apache/maven-compiler-plugin,luontola/retrolambda,"[annotations, apache, build, build-system, codehaus, maven, metadata, plugin, tools]",0.9
haosdent/jcgroup,nurkiewicz/async-retry,[logging],1.0
highcharts/highcharts-export-server,idealo/mongodb-slow-operations-profiler,"[api, javax, servlet, specs, standard]",0.71
StripesFramework/stripes,idealo/mongodb-slow-operations-profiler,"[api, javax, servlet, specs, standard]",0.71
